,ID,Tweets
62,1338968362450358275,"RT @igorpianist: Dimitri Shostakovich: Dance. 

Good (and happy) night ✌🏻 https://t.co/ouKf62ckRB"
63,1338968361913421824,"RT @Clayton_Sandell: EXCLUSIVE: I’m excited to share rare &amp; never-seen footage, outtakes &amp; bloopers from #StarWars “The Empire Strikes Back…"
64,1338968361443741697,"RT @AsiaLeeds: “As COVID has devastated Mexico, killing more than 110,000 people and infecting more than 1.2 million—the highest case-fatal…"
65,1338968358587420675,"RT @Ruth_HHopkins: On December 15, 1890, Tatanka Iyotake, Sitting Bull, was assassinated at Standing Rock. A federal agent ordered his arre…"
66,1338968358339960832,"@CathGirlRach ""Please help me, I've been waiting six months for a dialysis machine.""
*Continues to dance in the street.*"
67,1338968357459144704,Thank you for choosing Catherine's Dance Studio! #dancestudio #parkvilledancestudio #youthdanceclasses #dance https://t.co/yfMk5VkzuJ
68,1338968353319383042,"RT @DiscussingFilm: Naomi Ackie has been cast as Whitney Houston in the biopic ‘I WANNA DANCE WITH SOMEBODY’.

(Source: https://t.co/6yR0BR…"
69,1338968351356248064,@CautiousImber You can dance with me on tiktok XD
70,1338968350454501376,"@sedsapphic 1. Bill/dance floor
2. Frank
3. Hairpin
4. The maid (the scene with the baby in s3)
5. Amber's security guard lady"
71,1338968344699916288,@LoudmouthLira What?  You can’t dance with a side of beef and a gallon of bbq sauce with the side dish being a bag… https://t.co/hkUzUyhVTD
72,1338968335699021832,"RT @FTWStudios99: Kariru
What If Caulifla and Kale fused with the Fusion Dance instead https://t.co/OPrsHD4NmL"
73,1338968333538955270,"RT @OfficialMonstaX: 🎥
201215 #몬스타엑스
#Dance_Practice
#LoveKilla Costume ver.

💘
#MONSTAX #MONSTA_X
#MONSTAX_LoveKilla
#몬스타엑스_러브킬라 #러브킬라…"
74,1338968333530574851,"7-year-old doing virtual dance class, and they needed to grab a stuffed animal to fancy with. 

Dance teacher: “Wha… https://t.co/S4s1K0Y2C7"
75,1338968332104417281,"RT @SGChartUpdate: The animated dance performance of ""Ice Cream"" by @Blackpink and @selenagomez has surpassed 90 MILLION views on @YouTube,…"
76,1338968331940978689,"RT @TheFrogKiller: .@wizkidayo's Top 10 most streamed songs on Spotify 🔥🔥 

1. One Dance 1,949,690,331
2. Boom 138,498,995
3. My Love 113,0…"
77,1338968330879766529,Okay so i actually missed most of the dance portion as Partner D called with an assignment but it looked like peopl… https://t.co/3TXiK8ev3F
78,1338968326794579968,i refuse to believe someone has never heard poker face or just dance 😭 https://t.co/ML8DaKc0KH
79,1338968324466749442,If you go to a party just to be on your phone and not dance then just go home!!
80,1338968320062709763,"@PhilthyPhil2012 Gunner, Sabot, PC.
Identified.
Fire.
On the way.

(then they do the Ghanan coffin dance.)

Repeat."
81,1338968318968012801,"[Amazon UK] 

New Low ⬇ LEGO 41250 Trolls World Tour Techno Reef Dance Party NOW £18
 
https://t.co/EFdu3PRLUO

New… https://t.co/ZkwUouKNrd"
82,1338968316522729475,Latin Dance  is smoothly Sacred dance is evocative Dance  is blonde and so on
83,1338968299040878593,DANCE GAVIN DANCE IS A BANGER https://t.co/Mply0XyeQi
84,1338968298822754307,@WarTimeGirl Why do these idiots feel obligated to show a video of themselves dancing?  It’s suppose to be a pandem… https://t.co/DCndYYsWAU
85,1338968298726166529,RT @clumsyzaki: remember this dance showdown between nayeon and dahyun? look at them go 🥺 https://t.co/UDTVevW2ue
86,1338968297736450051,I wanna be wine drunk and slow dance to Tennessee whiskey
87,1338968296738140160,@doenwyb @rachellecooper_ are we also gonna ignore the fact that i cannot sing or dance or have any marketable talents at all
88,1338968295819669505,you’re valid -does a cool dance-
89,1338968292493565954,"RT @NewTrier203: Northfield Dance Ensemble will premiere a filmed version of its annual showcase on December 17 at 7 p.m. 

Visit this webp…"
90,1338968287355420673,I dont have to go to dance untill the 22nd and that is only for 1 hour and a Christmas party
91,1338968287313530880,"RT @markcublee: chief: aren't you guys workers of nice coffee time that dance and sing?
jeno: nice coffee time?
jeno: (checks)
jeno: ah it'…"
92,1338968280971796482,"RT @_PLICE: Started with her asking 
""Hi, can you teach me how to dance like you?""

That lesson is about to last a lifetime😅

To forever, L…"
93,1338968271371046915,RT @KADancePE: The KA’s Virtual Winter Dance Show is now live! 🤩 Make sure you check SMHW to get the link...get the popcorn in and enjoy 💃🏻…
94,1338968271270404097,Best Shuffle Dance Music 2020 | 24/7 Live Stream | Melbourne Bounce Musi... https://t.co/D4NKz1AbjK
95,1338968260490919936,You know that chick that used to dance a lot?
96,1338968259937390592,You’d get a pretty amazing dance routine every time he scores a goal so what’s the problem here luv https://t.co/gn2AecJfxz
97,1338968258599333888,"Now On Air No Distance - Metropolis, Join Us and be part of the Groove
#DUBAIDANCEREVOLUTION
https://t.co/sPoiaXltjb"
98,1338968258582605824,".@wizkidayo's Top 10 most streamed songs on Spotify 🔥🔥 

1. One Dance 1,949,690,331
2. Boom 138,498,995
3. My Love… https://t.co/K826XBaY6x"
99,1338968254937780225,"Life may not be the party we hope for but while we here, we should dance"
100,1338968254124068865,RT @MattWalshBlog: I remember reading about how doctors during the Black Plague used to let off steam by staging elaborate choreographed da…
101,1338968250420502529,@beastattoos @beamiller I DO MY LIL DANCE 💃🏻
102,1338968246146494473,"RT @Clayton_Sandell: EXCLUSIVE: I’m excited to share rare &amp; never-seen footage, outtakes &amp; bloopers from #StarWars “The Empire Strikes Back…"
103,1338968245253124097,"RT @AsiaLeeds: “As COVID has devastated Mexico, killing more than 110,000 people and infecting more than 1.2 million—the highest case-fatal…"
104,1338968244418437120,"RT @Clayton_Sandell: EXCLUSIVE: I’m excited to share rare &amp; never-seen footage, outtakes &amp; bloopers from #StarWars “The Empire Strikes Back…"
105,1338968244066115585,"RT @TolaXx: Me as a pastor:

Madam this ur dance too serious for person wey no dey pay tithe https://t.co/FimAJHdEtO"
106,1338968237946519553,When the white boi don’t know how to dance to Spanish music 🤦🏽‍♂️ 😂 https://t.co/tF8CspaNHe
107,1338968236692529152,"RT @TWICE_Charts: Most Streamed Girl Group Songs on MelOn:

1. CHEER UP — 266.1 million
2. TT — 220.3 million
5. Dance The Night Away — 192…"
108,1338968233735548933,battle me in just dance 2
109,1338968231239950337,"RT @bts_bighit: [#방탄밤][#방밤캠] 2020 MMA - '#BTS_Dynamite' Dance Break 단체 Focus ver.
(https://t.co/27kQZBkrhX)"
110,1338968229880991747,@davidscottjaffe @corybarlog He doesn’t even dance in that one...
111,1338968229520281601,@fmyoonie celebration dance yayyyyy good job!!!! https://t.co/CO3yAveV2F
112,1338968224080293889,"@TheFADEisFREE I have seen the end zone dances, they are already marketing the kids. One more grown ass man does a fortnite dance......"
113,1338968219428720642,"RT @yanisvaroufakis: I have no idea if the rumour of a pardon for Julian has any substance. But, if it does, even if offered by the wrong m…"
114,1338968218933882883,"RT @Clayton_Sandell: EXCLUSIVE: I’m excited to share rare &amp; never-seen footage, outtakes &amp; bloopers from #StarWars “The Empire Strikes Back…"
115,1338968218828853248,@RockBand @DGDtheband @fountainsofwayn YOOOOO Dance Gavin Dance.
116,1338968217839136768,"""i hate being reminded that im white"" thats too bad bitch!! do ya lil snow possum dance and be quiet!!! https://t.co/kYv6pJtNXI"
117,1338968217780416512,RT @vampyun: i have nothing more to add or it will become a dance analysis just watch any of his fancams on youtube he has earned every bit…
118,1338968216836710405,george do u want to dance to k3 with me
119,1338968216350019585,@EliEverfly I remember knowing they had a split and went with the star. But no clue how shitty her life was. And wh… https://t.co/NBFa3jVIsy
120,1338968213472862208,ilovelady7 - Dance With Me Tonight ~Macy~
121,1338968209270190085,"RT @banditosleepers: random moment of neurons clicking around. the bishops are the only ones in Dema with an identity

it makes sense. they…"
122,1338968203351846912,"RT @Ruth_HHopkins: On December 15, 1890, Tatanka Iyotake, Sitting Bull, was assassinated at Standing Rock. A federal agent ordered his arre…"
123,1338968197010055169,@LordBryant454 @HeathensUnite Each has their own greatness. NIN is a fav band of mine (when I hit clubs to dance) N… https://t.co/CS7XzdFtsW
124,1338968195353423874,"RT @nytimes: ""Ann Reinking may be gone, but her dancing lives on: lush, full-bodied, sumptuous,"" writes our lead dance critic. https://t.co…"
125,1338968195240239111,"THE ALBUM was diverse in both genres and lyricism, they explored Pop(Bubblegum pop, Electro Pop, dance pop and Retr… https://t.co/kl8Z3Y292l"
126,1338968188567101440,"@Jsoosty Urban outfittters, iwantoneofthose, menkind (🙄). Don’t get me wrong like, one of them wears a tonne of fak… https://t.co/cpxLqpcy0T"
127,1338968187187175424,"RT @DoYourTip: We had Foo earlier today and here comes @SalahT89! 

A+ dance and a eyecandy video! 

Is that already enough to defend the $…"
128,1338968186641920001,Recording a new mix again... 🔊🔊🔊 #PioneerDJ #MusicProducer #FutureHouse #TechHouse #Techno #Melodic #FutureBass… https://t.co/TVqtd9YjZY
129,1338968181906567170,"Alright friends, @electrocado awareness is at an all-time low. I have got to come up with some interesting tweets t… https://t.co/vOyo10rnXa"
130,1338968170649030656,"RT @_PLICE: Started with her asking 
""Hi, can you teach me how to dance like you?""

That lesson is about to last a lifetime😅

To forever, L…"
131,1338968158166798336,"RT @DoYourTip: We had Foo earlier today and here comes @SalahT89! 

A+ dance and a eyecandy video! 

Is that already enough to defend the $…"
132,1338968157592043520,can sunoo dance to panorama PLEASE
133,1338968155893411846,RT @5ez__: Dance with me in the Rain. https://t.co/TDiKQJDQt3
134,1338968146728906761,Yorushika songs may be very similar subject wise but each song is capable of making me dance and cry and no other group is that powerful
135,1338968143331397633,@JAColangelo1 @Anaridis I know. That worries me so much. Some of those heart-breaking confessional videos... If it… https://t.co/s0cIIZLbw0
136,1338968134896644097,"RT @AsiaLeeds: “As COVID has devastated Mexico, killing more than 110,000 people and infecting more than 1.2 million—the highest case-fatal…"
137,1338968134003396609,"💖 Interstellar Katana (BLINK style) 🖤

Cut like Lisa's dance moves and Rosé's vocals
Pull out the Interstellar Kata… https://t.co/6LhRTOTikU"
138,1338968133500088320,"Oh to slow dance with someone while Atlantic Starr's ""Always"" plays in the background with slow, dim disco lights, 80s-90s feels 💖"
139,1338968130631118851,"RT @TheFrogKiller: .@wizkidayo's Top 10 most streamed songs on Spotify 🔥🔥 

1. One Dance 1,949,690,331
2. Boom 138,498,995
3. My Love 113,0…"
140,1338968128101871616,"RT @stellaryong: sooo this is his answer

""i'm in charge of face, dance and rap in our team. what a versatile member right. i've also been…"
141,1338968124784332806,when the green card application is rejected so you dance and sing in front of the embassy https://t.co/2HtrEYyo3k
142,1338968122812985344,"RT @yeojagucci: new gfriend content from cosmopolitan which has 1.28M subscribers! add this to your streaming playlist along with the mvs,…"
143,1338968121864904704,"""[Pops in Seoul] Dance How To! The world class performer🕺 KAI(카이)'s ""Mmmh(음)"""" https://t.co/SNbGYLGaey"
144,1338968120786964480,"RT @Ruth_HHopkins: On December 15, 1890, Tatanka Iyotake, Sitting Bull, was assassinated at Standing Rock. A federal agent ordered his arre…"
145,1338968119038124032,@aegburner @charlidamelio not all influencers dance.
146,1338968113459695618,@guyverhofstadt I’m sure the likes of young Henrietta’s parents can pay for her year studying contemporary dance in… https://t.co/K504B4rpPB
147,1338968111937032194,Where do I vote to cancel this slow motion dance trend??
148,1338968111140179973,RT @GINAP0RTER: i tuned into tpt for dance drama not ass https://t.co/fU9nDMDURa
149,1338968107071791107,"1- Sentado debajo de un árbol de mango.
2- Firework.
3- Ghosts only wanna dance.
4- Everyday.
5- Don't stop me now. https://t.co/nwkSiBuedc"
150,1338968106044182528,Hanson is playing at PetSmart!!!! *happy dance*
151,1338968102877409286,i did a dance https://t.co/pKjJlZNbjs
152,1338968102470627329,@chrisckmedia @theJeremyVine @rjs104 @bbcstrictly The electric guitar for Bill Bailey’s dance was amazing 😳👍
153,1338968100994076672,"RT @Clayton_Sandell: EXCLUSIVE: I’m excited to share rare &amp; never-seen footage, outtakes &amp; bloopers from #StarWars “The Empire Strikes Back…"
154,1338968100792840192,"RT @TolaXx: Me as a pastor:

Madam this ur dance too serious for person wey no dey pay tithe https://t.co/FimAJHdEtO"
155,1338968099022725120,"RT @snmixsn: Love Killa Dance Practice Costume Ver.
#셔누 

https://t.co/m22b91uO2d https://t.co/Dnjwd22iLI"
156,1338968097097658368,RT @NewNoiseMags: Check out our interview with Philly dance and heavy metal group Ghösh. We chatted about their busy year releasing singles…
157,1338968095185055744,"Thinking of all our friends and pupils, and wishing you all the joys of the festive season. 
We hope it won’t be lo… https://t.co/vlalJJffr8"
158,1338968094853586944,"RT @awakendmindsoul: i got you
i trust you
i miss you
don't let go
dance with me

~ three words that hold as much power as i love you"
159,1338968092521635841,"RT @illustor: Sua. Bad girl, Good Girl cover dance full version video clip.

https://t.co/iyVQrDsB15

#Sua #Unity #realtime #HDRP #DigitalC…"
160,1338968091905183745,i feel like someone is doing the “lemon pepper steppers” dance on my ovaries dear god
161,1338968086343380993,"RT @bhrenton: Motion to make Lizzo’s “Good as Hell” the official Covid-19 vaccination song?

That guy in the blue suit can really dance. ht…"
162,1338968082207961099,"RT @4Gelly: Where is Nile's name on the tribute. I would LOOOVE to see Adam sing Let's Dance w Nile playing guitar, just like it was suppos…"
163,1338968077195735042,@nealjclark1 Dance also with music
164,1338968071755612160,@galaxibun It’s the dance for me ksksks
165,1338968069578874880,"RT @neotrolostwt: 𝗡𝗖𝗧 𝗨 엔시티 유 '𝗕𝗮𝗯𝘆 𝗗𝗼𝗻'𝘁 𝗦𝘁𝗼𝗽' 𝗠𝗩 

The first duet to come out of the multi-tiered NCT 2020 project offers up a minimalist…"
166,1338968067943043076,RT @ewezfell: Crowley throwing himself into disco dancing after being told he goes too fast is just so hilariously reminiscent to Aziraphal…
167,1338968064965169152,"RT @taylorswift13: Not to be all ‘iTs mY BiRtHdAY &amp; I jUsT wAnNa DaNcE’ but... it is and I do. So here’s the willow dancing witch version,…"
168,1338968062096273408,"#BAEKHYUN #백현's vocals and dance moves are outstanding! 👑✨🎤

@B_Hundred_Hyun #BestArtistBAEKHYUN #천재아이돌… https://t.co/ztOoCmNvDx"
169,1338968060967878656,I am very happy and proud of my team for overcoming the challenges that 2020 threw our way! Our group got 13 papers… https://t.co/hYZ7heF0Ak
170,1338968059688706050,@ElizaSmith170 @LindaWo65291805 @TeamJuJu He can't dance anywhere else? Quite literally anywhere else
171,1338968051388211202,"The double standards of tiktok, they little sixteen tear olds dance in their bikinis to get 100 mill followers but… https://t.co/zMEYE8dgRE"
172,1338968050809384960,RT @nypl: The staff of @nypl_lpa Jerome Robbins Dance Division has carefully curated color books featuring images from the Dance Division i…
173,1338968049966182401,"RT @NFL: .@jswaggdaddy and @Showtyme_33 break down some of their dance moves to @heykayadams. 😂🕺 

📺 : @NFLGameDay Morning | Sunday on @NFL…"
174,1338968045063204865,"RT @jhkgalaxy: BTS tem sim a melhor vocal line, rap line e dance line."
175,1338968041640620035,"RT @StellaMoris1: He's a free speech hero.

#PardonAssange
#Assange
#TrumpPardonAssange
@realDonaldTrump https://t.co/0qMzq5kM3c"
